Page ID,Section name,H1,Current URL,Current page path,New page path,Hierarchy level,Page type,Content section,Queries,Level of factual updates,HR owner (information provider and approver),Sitemap queries for HR,Additional migration instructions,Page template,Hide from nav,CMS preview,CMS edit
3,How the scheme works,Mentoring scheme for University staff: How it works,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/how-it-works/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/how-it-works/,/hr/learning-development/mentoring-coaching/mentoring-for-support-staff/how-it-works/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
4,Joining the scheme as a mentee,Mentoring scheme for University staff: Joining as a mentee,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/joining-mentee/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/joining-mentee/,/hr/learning-development/mentoring-coaching/mentoring-for-support-staff/joining-mentees/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Not Found,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
5,Joining the scheme as a mentor,Mentoring scheme for University staff: Joining as a mentor,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/joining-mentor/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/joining-mentor/,/hr/learning-development/mentoring-coaching/mentoring-for-support-staff/joining-mentors/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Not Found,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
6,Timescales,Mentoring scheme for University staff: Timescales,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/timescales/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/timescales/,/hr/learning-development/mentoring-coaching/mentoring-for-support-staff/timescales/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Not Found,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
1,What is mentoring,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring-introduction/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring-introduction/,/hr/learning-development/mentoring-coaching/mentoring-introduction/,4,Information page,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,Could be integrated into a new parent page as part of the mentoring guidance but there is also this page: https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/new-lecturers/introduction/,,answer-template-2017,FALSE,Preview,Edit
,Mentoring for research and academic staff,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/established-lecturers/how-does-it-work/,/admin/hr/learning-and-development/mentoring-and-coaching/established-lecturers/how-does-it-work/,,,,15 Learning development and careers (mentoring and coaching),Deleting,,Susan Kane,Reworked into the following pages: https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/purpose/,,Not Found,FALSE,#N/A,#N/A
,Mentoring for research and academic staff,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/established-lecturers/next-steps/,/admin/hr/learning-and-development/mentoring-and-coaching/established-lecturers/next-steps/,,,,15 Learning development and careers (mentoring and coaching),Deleting,,Susan Kane,Reworked into the following pages: https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/purpose/,,Not Found,FALSE,#N/A,#N/A
,Mentoring for research and academic staff,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/established-lecturers/purpose/,/admin/hr/learning-and-development/mentoring-and-coaching/established-lecturers/purpose/,,,,15 Learning development and careers (mentoring and coaching),Deleting,,Susan Kane,Reworked into the following pages: https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/purpose/,,Not Found,FALSE,#N/A,#N/A
,What is mentoring,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentees/,/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentees/,,,,15 Learning development and careers (mentoring and coaching),Deleting,Fine as is,Susan Kane,Reworked into the following pages: https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/purpose/,,Not Found,FALSE,#N/A,#N/A
,Joining the scheme,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/next-step/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/next-step/,,5,Multistep guide,15 Learning development and careers (mentoring and coaching),Query - general,Fine as is,Susan Kane,"Is this page needed as well as: https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/joining-mentor/ and https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/joining-mentee/ ?

Looks like it was from the old version?",,multiPage-template-2017,FALSE,#N/A,#N/A
6.4,Leadership and management development,,https://www.york.ac.uk/admin/hr/browse/learning-and-development/leadership-and-management,/browse/learning-and-development/leadership-and-management,/hr/learning-development/leadership-management,3,Index page,16 Learning development and careers (leadership),None,Fine as is,Susan Kane,,,Browse listing page,FALSE,Preview,Edit
1,Management foundations programme,,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/management-foundations-programme/overview/ ,/admin/hr/learning-and-development/leadership-and-management/management-foundations-programme/overview/,/hr/learning-development/leadership-management/management-foundations-programme/,4,Multistep parent,16 Learning development and careers (leadership),None,,Susan Kane,,Next step beneficial,multiPage-template-2017,FALSE,Preview,Edit
2,Who is it for,Management foundations programme: Who is it for,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/management-foundations-programme/who-is-it-for/ ,/admin/hr/learning-and-development/leadership-and-management/management-foundations-programme/who-is-it-for/,/hr/learning-development/leadership-management/management-foundations-programme/who-is-it-for/,5,Multistep guide,16 Learning development and careers (leadership),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
3,Programme content,Management foundations programme: Programme content,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/management-foundations-programme/programme-content/ ,/admin/hr/learning-and-development/leadership-and-management/management-foundations-programme/programme-content/,/hr/learning-development/leadership-management/management-foundations-programme/programme-content/,5,Multistep guide,16 Learning development and careers (leadership),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
4,What we ask of you,Management foundations programme: What we ask of you,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/management-foundations-programme/what-we-ask-of-you/ ,/admin/hr/learning-and-development/leadership-and-management/management-foundations-programme/what-we-ask-of-you/,/hr/learning-development/leadership-management/management-foundations-programme/what-we-ask-of-you/,5,Multistep guide,16 Learning development and careers (leadership),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
5,Line manager information,Management foundations programme: Line manager information,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/management-foundations-programme/line-manager-information/,/admin/hr/learning-and-development/leadership-and-management/management-foundations-programme/line-manager-information/,/hr/learning-development/leadership-management/management-foundations-programme/line-manager-information/,5,Multistep guide,16 Learning development and careers (leadership),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
6,Applying,Management foundations programme: Applying,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/management-foundations-programme/apply/ ,/admin/hr/learning-and-development/leadership-and-management/management-foundations-programme/apply/,/hr/learning-development/leadership-management/management-foundations-programme/apply/,5,Multistep guide,16 Learning development and careers (leadership),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
1,Managers and Leaders Action Learning Sets,,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/managers-leaders-action-learning-sets/overview/ ,/admin/hr/learning-and-development/leadership-and-management/managers-leaders-action-learning-sets/overview/,/hr/learning-development/leadership-management/managers-leaders-action-learning-sets/,4,Multistep parent,16 Learning development and careers (leadership),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
2,Purpose,Managers and Leaders Action Learning Sets: Purpose,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/managers-leaders-action-learning-sets/purpose/ ,/admin/hr/learning-and-development/leadership-and-management/managers-leaders-action-learning-sets/purpose/,/hr/learning-development/leadership-management/managers-leaders-action-learning-sets/purpose/,5,Multistep guide,16 Learning development and careers (leadership),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
3,How they work,Managers and Leaders Action Learning Sets: How they work,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/managers-leaders-action-learning-sets/how-they-work/ ,/admin/hr/learning-and-development/leadership-and-management/managers-leaders-action-learning-sets/how-they-work/,/hr/learning-development/leadership-management/managers-leaders-action-learning-sets/how-they-work/,5,Multistep guide,16 Learning development and careers (leadership),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
4,Benefits,Managers and Leaders Action Learning Sets: Benefits,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/managers-leaders-action-learning-sets/benefits-of-action-learning/ ,/admin/hr/learning-and-development/leadership-and-management/managers-leaders-action-learning-sets/benefits-of-action-learning/,/hr/learning-development/leadership-management/managers-leaders-action-learning-sets/benefits-of-action-learning/,5,Multistep guide,16 Learning development and careers (leadership),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
5,How to participate,Managers and Leaders Action Learning Sets: How to participate,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/managers-leaders-action-learning-sets/how-to-participate/ ,/admin/hr/learning-and-development/leadership-and-management/managers-leaders-action-learning-sets/how-to-participate/,/hr/learning-development/leadership-management/managers-leaders-action-learning-sets/how-to-participate/,5,Multistep guide,16 Learning development and careers (leadership),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
6.4.5,360 diagnostic tool,,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/360-diagnostic-tool/,/admin/hr/learning-and-development/leadership-and-management/360-diagnostic-tool/,/hr/learning-development/leadership-management/360-diagnostic-tool,4,Information page,16 Learning development and careers (leadership),None,Fine as is,Susan Kane,,,answer-template-2017,FALSE,Preview,Edit
1,Collaborative leadership programme,,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/collaborative-leadership/overview/,/admin/hr/learning-and-development/leadership-and-management/collaborative-leadership/overview/,/hr/learning-development/leadership-management/collaborative-leadership,4,Multistep parent,16 Learning development and careers (leadership),None,Fine as is,Susan Kane,,Not step-by-step,multiPage-template-2017,FALSE,Preview,Edit
2,Aims and principles,Collaborative leadership programme: Aims and principles,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/collaborative-leadership/programme-aims-and-principles/,/admin/hr/learning-and-development/leadership-and-management/collaborative-leadership/programme-aims-and-principles/,/hr/learning-development/leadership-management/collaborative-leadership/aims,5,Multistep guide,16 Learning development and careers (leadership),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
3,Modules,Collaborative leadership programme: Modules,https://www.york.ac.uk/admin/hr/learning-and-development/leadership-and-management/collaborative-leadership/modules/,/admin/hr/learning-and-development/leadership-and-management/collaborative-leadership/modules/,/hr/learning-development/leadership-management/collaborative-leadership/modules,5,Multistep guide,16 Learning development and careers (leadership),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
